id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
468,Port Macquarie,AU,-31.4333,152.9167,75.88,27,0,10.42,clear sky
469,Nueva Helvecia,UY,-34.3,-57.2333,73.6,40,0,8.16,clear sky
470,Traverse City,US,44.7631,-85.6206,35.67,58,100,17.27,overcast clouds
471,Fountain Hills,US,33.6117,-111.7174,50.49,59,0,1.01,clear sky
472,Safaga,EG,26.7292,33.9365,68.59,58,0,10.22,clear sky
473,Conceicao Da Barra,BR,-18.5933,-39.7322,69.96,82,100,5.39,overcast clouds
474,Ornskoldsvik,SE,63.2909,18.7153,-8.45,84,23,3.44,few clouds
475,Bambui,BR,-20.0064,-45.9769,68.59,77,100,5.17,overcast clouds
476,Ewa Beach,US,21.3156,-158.0072,82.85,62,0,14.97,clear sky
477,Maceio,BR,-9.6658,-35.7353,76.44,94,0,8.05,clear sky
478,Estevan,CA,49.1334,-102.9842,10.74,95,100,17.18,light snow
479,Flinders,AU,-34.5833,150.8552,72.18,42,32,11.01,scattered clouds
480,Santa Rosa De Aguan,HN,15.95,-85.7167,79.83,76,1,14.45,clear sky
481,Pochutla,MX,15.7432,-96.4661,77.83,83,0,4.92,clear sky
482,Tiznit,MA,29.5833,-9.5,59.18,87,0,7.11,clear sky
483,Raduzhnyy,RU,62.0961,77.475,-2.74,97,75,9.08,broken clouds
484,Ketchikan,US,55.3422,-131.6461,39.18,93,100,3.44,mist
485,Le Port,RE,-20.9373,55.2919,76.96,71,8,4.45,clear sky
486,Miedzyrzecz,PL,52.4446,15.578,18.68,89,7,1.92,clear sky
487,Ust-Kuyga,RU,70.0167,135.6,-42.18,99,96,5.99,overcast clouds
488,Shelburne,CA,44.0787,-80.2041,25.59,85,100,12.3,overcast clouds
489,Itarema,BR,-2.9248,-39.9167,79.09,80,100,13.11,overcast clouds
490,Parakou,BJ,9.3372,2.6303,72.46,22,5,4.72,clear sky
491,Pak Thong Chai,TH,14.7226,102.0251,61.11,71,48,3.96,scattered clouds
492,Ningbo,CN,29.8782,121.5495,43.38,58,0,4.16,clear sky
493,Palu,ID,-0.8917,119.8707,79.39,87,91,0.16,overcast clouds
494,Gafanha Da Encarnacao,PT,40.6181,-8.733,55.06,94,100,12.39,overcast clouds
495,Bull Savanna,JM,17.8868,-77.5902,73.58,81,50,9.44,scattered clouds
496,Nerchinskiy Zavod,RU,51.3088,119.61,-38.34,98,38,1.68,scattered clouds
497,Eshowe,ZA,-28.8865,31.4699,65.05,96,6,2.1,clear sky
498,Bahia Blanca,AR,-38.7196,-62.2724,67.28,64,34,15.73,scattered clouds
499,Canavieiras,BR,-15.675,-38.9472,71.74,95,100,8.75,overcast clouds
500,Banjarmasin,ID,-3.3244,114.591,82.58,74,38,3.31,scattered clouds
501,Phangnga,TH,8.4509,98.5298,78.84,85,54,5.77,broken clouds
502,Shu,KZ,43.5983,73.7614,10.2,89,5,2.84,clear sky
503,Raichur,IN,16.2,77.3667,68.41,90,2,4.27,clear sky
504,Praia Da Vitoria,PT,38.7333,-27.0667,55.76,77,87,22.03,overcast clouds
505,Marsh Harbour,BS,26.5412,-77.0636,74.55,69,1,14.79,clear sky
506,Coxim,BR,-18.5067,-54.76,80.46,70,99,3.65,overcast clouds
507,Acajutla,SV,13.5928,-89.8275,76.93,79,0,4.68,clear sky
508,Altus,US,34.6381,-99.334,41.52,61,0,5.75,clear sky
509,Marawi,PH,7.9986,124.2928,75.58,77,96,1.77,overcast clouds
510,Paita,PE,-5.0892,-81.1144,68.32,83,62,11.12,broken clouds
511,Kozhva,RU,65.1073,57.0459,22.8,72,0,15.77,clear sky
512,Oussouye,SN,12.485,-16.5469,66.38,36,3,6.11,clear sky
513,Galesong,ID,-5.3166,119.3661,82.42,79,100,4.03,overcast clouds
514,Ishigaki,JP,24.3448,124.1572,68.85,80,100,21.68,overcast clouds
515,Vakhrushev,RU,48.9833,142.9667,11.77,75,100,14.45,overcast clouds
516,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,3.44,overcast clouds
517,Bagdarin,RU,54.4333,113.6,-12.93,88,100,1.66,overcast clouds
518,Aksu,CN,41.1231,80.2644,20.01,60,0,4.61,clear sky
519,Lenger,KZ,42.183,69.8839,31.44,71,84,8.84,broken clouds
520,Asau,RO,46.4333,26.4,34.29,77,100,4.38,overcast clouds
521,Portobelo,PA,9.55,-79.65,80.04,87,45,11.72,light rain
522,Tazovskiy,RU,67.4667,78.7,-2.22,96,99,10.89,overcast clouds
523,Saint-Pierre,RE,-21.3393,55.4781,75.9,64,0,5.75,clear sky
524,Shihezi,CN,44.3,86.0333,4.01,95,100,3.53,overcast clouds
525,Sechura,PE,-5.5569,-80.8222,70.27,73,83,11.01,broken clouds
526,Boguchany,RU,58.3814,97.4531,-22.85,100,42,1.83,scattered clouds
527,Mackenzie,CA,55.2999,-123.1698,16.02,86,100,5.75,overcast clouds
528,Sheridan,US,44.8333,-106.9173,23.38,84,100,18.41,overcast clouds
529,Pitimbu,BR,-7.4706,-34.8086,79.39,78,19,10.58,few clouds
530,Sao Filipe,CV,14.8961,-24.4956,79.29,53,19,11.25,few clouds
531,College,US,64.8569,-147.8028,-5.48,77,75,4.61,light snow
532,Leningradskiy,RU,69.3833,178.4167,-26.84,94,36,5.19,scattered clouds
533,Petropavlovka,RU,50.6114,105.3196,-3.66,87,100,4.9,overcast clouds
534,Brownwood,US,31.7093,-98.9912,45.97,52,20,5.75,few clouds
535,Port Lincoln,AU,-34.7333,135.8667,59.54,59,100,13.42,overcast clouds
536,Kipen,RU,59.6765,29.8531,27.25,91,100,18.43,light snow
537,Bhuj,IN,23.2667,69.6667,66.54,65,58,7.29,broken clouds
538,Nyurba,RU,63.2842,118.3319,-41.24,100,100,2.75,overcast clouds
539,Cap-Aux-Meules,CA,47.3821,-61.8597,36.84,97,100,32.7,overcast clouds
540,Ushibuka,JP,32.1906,130.0228,47.62,60,83,15.39,broken clouds
541,Bom Jesus,BR,-9.0744,-44.3586,78.8,54,100,2.57,overcast clouds
542,Aquin,HT,18.2833,-73.4,73.94,82,3,3.22,clear sky
543,Merced,US,37.1666,-120.7516,51.3,76,71,1.99,broken clouds
544,Sulangan,PH,11.1373,123.7228,81.43,81,78,13.29,broken clouds
545,Teya,RU,60.3778,92.6267,-11.4,100,100,2.91,overcast clouds
546,Benguela,AO,-12.5763,13.4055,75.34,79,100,0.92,overcast clouds
547,Mayumba,GA,-3.432,10.6554,74.75,88,78,2.73,broken clouds
548,Harper,LR,4.375,-7.7169,78.85,81,74,5.41,light rain
549,Adet,ET,11.2644,37.4888,54.45,56,52,3.24,broken clouds
550,Meulaboh,ID,4.1363,96.1285,73.8,94,100,6.46,overcast clouds
551,Farafangana,MG,-22.8167,47.8333,71.58,90,79,4.36,light rain
552,Tautira,PF,-17.7333,-149.15,80.1,78,97,19.01,light rain
553,Ibiapina,BR,-3.9233,-40.8894,70.57,69,100,3.29,overcast clouds
554,Wakkanai,JP,45.4094,141.6739,22.98,74,75,31.07,light snow
555,Rio Gallegos,AR,-51.6226,-69.2181,55.45,54,75,23.02,broken clouds
556,Batagay-Alyta,RU,67.8006,130.4114,-33.54,89,51,3.44,broken clouds
557,Vangaindrano,MG,-23.35,47.6,69.19,94,76,3.22,broken clouds
558,Komsomolskiy,UZ,40.4272,71.7189,29.12,93,100,0.0,fog
559,Saldanha,ZA,-33.0117,17.9442,66.25,98,63,12.73,broken clouds
560,Novyy Urgal,RU,51.0736,132.5642,-10.34,86,100,3.38,overcast clouds
561,Sept-Iles,CA,50.2001,-66.3821,36.12,69,75,16.11,broken clouds
562,Marienburg,PL,54.0359,19.0266,17.04,96,28,4.25,scattered clouds
563,Jacareacanga,BR,-6.2222,-57.7528,73.35,98,100,3.44,overcast clouds
564,Marsa Matruh,EG,31.3525,27.2453,64.8,55,9,8.79,clear sky
565,Luwuk,ID,-0.9516,122.7875,82.4,74,100,2.51,moderate rain
566,Gorontalo,ID,0.5412,123.0595,79.14,90,100,1.5,overcast clouds
567,Newala,TZ,-10.9431,39.2787,66.04,97,100,3.4,overcast clouds
568,Miraflores,MX,19.2167,-98.8083,64.02,59,19,4.05,few clouds
569,Mexico,PH,15.0646,120.7198,82.11,74,100,7.81,overcast clouds
570,Sao Paulo De Olivenca,BR,-3.3783,-68.8725,73.33,97,100,1.03,overcast clouds
571,Baoqing,CN,46.3317,132.2111,0.45,56,0,13.87,clear sky
572,Creel,MX,27.75,-107.6333,33.35,40,3,5.79,clear sky
573,Jinka,ET,5.65,36.65,66.88,55,81,1.23,broken clouds
574,Bhachau,IN,23.2833,70.35,69.51,46,96,8.84,overcast clouds
575,Juneau,US,58.3019,-134.4197,41.22,97,100,6.91,light rain
576,Nagaur,IN,27.2,73.7333,54.64,39,0,4.5,clear sky
577,Sambava,MG,-14.2667,50.1667,73.99,88,77,9.06,broken clouds
578,Kasongo-Lunda,CD,-6.4667,16.8167,65.16,98,65,0.94,broken clouds
579,Ghanzi,BW,-21.5667,21.7833,71.98,68,100,3.85,light rain
580,Lotofaga,WS,-13.9764,-171.8578,83.98,77,100,13.85,light rain
581,Lewiston,US,44.1003,-70.2148,40.05,70,75,16.11,broken clouds
582,Coos Bay,US,43.3665,-124.2179,43.14,92,0,3.44,clear sky
583,Tatawin,TN,32.9297,10.4518,66.9,48,0,9.37,clear sky
584,Atar,MR,20.5169,-13.0499,74.3,28,0,6.38,clear sky
585,Warangal,IN,18.0,79.5833,69.1,92,0,3.76,clear sky
586,Fort Myers Beach,US,26.452,-81.9481,75.27,80,0,5.99,clear sky
587,Maamba,ZM,-17.3667,27.15,69.42,86,66,1.88,light rain
588,Kamaishi,JP,39.2667,141.8833,34.66,66,88,9.1,light snow
589,Half Moon Bay,US,37.4636,-122.4286,52.61,76,20,6.91,few clouds
590,Brae,GB,60.3964,-1.353,41.32,66,97,19.3,light rain
591,Hovd,MN,48.0056,91.6419,-4.09,74,1,6.58,clear sky
592,Taltal,CL,-25.4,-70.4833,68.11,79,30,4.23,scattered clouds
593,Visnes,NO,59.3556,5.2242,30.22,86,100,3.44,overcast clouds
594,Chiang Kham,TH,19.5233,100.3,65.3,88,9,1.03,clear sky
595,Mangrol,IN,21.1167,70.1167,74.35,51,100,10.6,overcast clouds
596,Sokur,RU,55.2093,83.319,-19.46,100,21,0.49,few clouds
597,La Ronge,CA,55.1001,-105.2842,15.55,94,100,9.01,overcast clouds
598,Vanavara,RU,60.34,102.2797,-21.42,96,5,3.85,clear sky
599,Bangassou,CF,4.7413,22.8184,67.37,79,17,1.61,few clouds
600,Biloli,IN,18.7667,77.7333,70.61,77,98,3.51,overcast clouds
601,Ahuimanu,US,21.4447,-157.8378,82.11,62,40,12.66,scattered clouds
602,Teterow,DE,53.7833,12.5667,15.96,97,55,4.5,broken clouds
603,Riberalta,BO,-10.9833,-66.1,80.73,67,99,2.15,overcast clouds
604,Korla,CN,41.7597,86.1469,23.31,57,0,7.2,clear sky
605,Ulaangom,MN,49.9811,92.0667,-14.51,83,61,3.31,broken clouds
606,Turukhansk,RU,65.8167,87.9833,-2.78,97,100,14.85,light snow
607,Skjervoy,NO,70.0311,20.9714,32.0,69,100,12.53,overcast clouds
608,Manzhouli,CN,49.6,117.4333,-18.53,90,4,9.95,clear sky
609,Anqing,CN,30.5092,117.0506,44.62,39,0,1.52,clear sky
610,Chaupal,IN,30.95,77.5833,38.08,18,0,4.88,clear sky
611,Swarzedz,PL,52.4129,17.085,19.72,91,54,1.14,mist
612,Baffa,PK,34.4378,73.2194,48.79,22,8,5.97,clear sky
613,Winnemucca,US,40.973,-117.7357,28.45,80,100,3.44,overcast clouds
614,Zhangye,CN,38.9342,100.4517,13.75,63,10,4.43,clear sky
615,Camacha,PT,33.0833,-16.3333,62.02,68,40,25.32,scattered clouds
616,Bacolod,PH,10.6667,122.95,83.8,73,91,9.73,overcast clouds
617,Kodinsk,RU,58.6881,99.1844,-28.3,100,10,2.8,clear sky
618,Baykit,RU,61.67,96.37,-30.3,100,95,2.13,overcast clouds
619,Antalaha,MG,-14.9003,50.2788,72.12,85,22,5.37,few clouds
620,Akureyri,IS,65.6835,-18.0878,4.93,85,20,2.3,few clouds
621,Ust-Ilimsk,RU,58.0006,102.6619,-28.07,100,84,3.65,broken clouds
622,Turan,VN,16.0678,108.2208,71.58,64,75,3.44,broken clouds
623,Nouadhibou,MR,20.931,-17.0347,69.78,78,0,13.8,clear sky
624,Cockburn Town,TC,21.4612,-71.1419,77.34,68,0,11.48,clear sky
625,Mormugao,IN,15.4,73.8,74.46,88,40,3.44,scattered clouds
626,Santa Rosa,PH,14.3122,121.1114,82.38,82,88,13.18,light rain
627,Beyneu,KZ,45.3167,55.2,32.83,87,73,8.5,broken clouds
628,Sitka,US,57.0531,-135.33,46.29,76,100,10.36,haze
629,Faya,SA,18.3851,42.4509,51.91,73,41,1.92,scattered clouds
630,San Julian,MX,21.0167,-102.1667,56.44,26,8,7.38,clear sky
631,Qaqortoq,GL,60.7167,-46.0333,11.89,64,11,9.28,few clouds
632,Tiruppur,IN,11.1,77.35,72.75,95,23,2.51,few clouds
633,Monterey,US,36.2505,-121.2516,43.9,64,78,2.06,broken clouds
634,Hualmay,PE,-11.0964,-77.6139,70.07,81,89,6.24,overcast clouds
635,Nhulunbuy,AU,-12.2333,136.7667,93.81,46,75,5.75,broken clouds
636,Bolu,TR,40.6667,31.5833,42.31,92,58,5.41,broken clouds
637,Olga,RU,43.7444,135.2892,8.4,52,0,14.43,clear sky
638,Ejido,VE,8.5514,-71.2375,64.45,89,100,6.13,overcast clouds
639,Abu Dhabi,AE,24.4667,54.3667,69.96,80,0,0.0,clear sky
640,Kindia,GN,10.0569,-12.8658,67.91,60,100,1.9,overcast clouds
641,Tefe,BR,-3.3542,-64.7114,73.98,96,100,2.53,overcast clouds
642,Monte Santo,BR,-10.4378,-39.3328,77.34,38,94,5.19,overcast clouds
643,Calabozo,VE,8.9242,-67.4293,80.55,62,96,3.62,overcast clouds
644,Mount Isa,AU,-20.7333,139.5,87.57,14,100,9.22,overcast clouds
645,Greymouth,NZ,-42.4667,171.2,63.86,74,100,0.38,overcast clouds
646,San Cristobal,VE,7.7669,-72.225,66.38,97,51,2.86,broken clouds
647,Semey,KZ,50.4111,80.2275,-25.38,75,40,0.0,scattered clouds
648,Chippewa Falls,US,44.9369,-91.3929,35.78,95,100,13.8,snow
649,Taywarah,AF,33.35,64.4167,31.5,40,100,3.8,overcast clouds
650,Quelimane,MZ,-17.8786,36.8883,74.41,85,5,3.78,clear sky
651,North Bend,US,43.4065,-124.2243,43.07,92,0,3.44,clear sky
652,Trinidad,BO,-14.8333,-64.9,77.79,83,97,3.29,overcast clouds
653,Gamba,GA,-2.65,10.0,74.88,89,100,3.02,overcast clouds
654,Linkoping,SE,58.4109,15.6216,23.38,86,100,4.61,overcast clouds
655,Kazachinskoye,RU,57.6953,93.2761,-2.69,91,100,6.02,overcast clouds
656,Ostashkov,RU,57.1467,33.1075,16.09,89,19,9.93,few clouds
657,Stromness,GB,58.965,-3.296,39.16,64,93,28.5,overcast clouds
658,Yumen,CN,40.2833,97.2,15.85,78,100,7.09,overcast clouds
659,Yeniseysk,RU,58.4497,92.1703,-5.26,93,100,4.27,overcast clouds
660,Manokwari,ID,-0.8667,134.0833,80.46,78,100,3.04,overcast clouds
661,Ribeira Brava,PT,32.65,-17.0667,63.23,82,20,19.84,few clouds
662,Puerto Escondido,MX,15.85,-97.0667,79.63,73,75,5.75,broken clouds
663,Madingou,CG,-4.1536,13.55,70.72,94,100,0.51,overcast clouds
664,Magalia,US,39.8121,-121.5783,40.75,79,100,2.37,overcast clouds
665,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,71.33,95,100,8.32,overcast clouds
666,Alexandria,EG,31.2156,29.9553,65.88,75,6,5.88,clear sky
667,Tateyama,JP,34.9833,139.8667,49.41,50,21,4.76,few clouds
668,Mumford,GH,5.2618,-0.759,79.02,86,5,7.45,light rain
669,Shubarkuduk,KZ,49.1447,56.4872,11.62,83,5,7.18,clear sky
670,Pundaguitan,PH,6.3711,126.1689,81.52,79,100,12.68,moderate rain
671,Ambovombe,MG,-25.1667,46.0833,70.95,86,61,2.3,broken clouds
672,Hirado,JP,33.3597,129.5531,47.39,58,91,13.09,overcast clouds
673,Cartagena,CO,10.3997,-75.5144,80.22,83,20,6.91,few clouds
674,El Rosario,MX,24.2556,-107.1828,61.75,56,48,7.05,scattered clouds
675,Kourou,GF,5.1552,-52.6478,78.85,87,96,9.44,overcast clouds
676,Raahe,FI,64.6833,24.4833,3.29,85,100,3.24,light snow
677,Magadan,RU,59.5667,150.8,-3.8,81,96,17.63,overcast clouds
678,Waingapu,ID,-9.6567,120.2641,85.21,66,100,2.15,overcast clouds
679,Netivot,IL,31.4222,34.5886,61.86,67,38,4.79,scattered clouds
680,Zlitan,LY,32.4674,14.5687,69.8,51,99,8.55,overcast clouds
681,Kabare,CD,-2.4683,28.8242,57.4,95,12,2.15,few clouds
682,Nsanje,MW,-16.92,35.262,73.31,88,13,3.09,few clouds
683,Cayhagan,PH,9.6697,122.4256,82.22,75,74,10.63,broken clouds
684,Coari,BR,-4.085,-63.1414,77.05,86,100,2.8,overcast clouds
685,Grindavik,IS,63.8424,-22.4338,23.47,68,0,11.5,light snow
686,Ust-Nera,RU,64.5667,143.2,-47.87,99,79,2.8,broken clouds
687,Partenit,UA,44.578,34.3446,40.87,79,96,10.11,overcast clouds
688,Santa Marta,CO,11.2408,-74.199,82.89,74,100,5.99,overcast clouds
689,Cusuna,HN,15.85,-85.2333,74.8,82,2,8.32,clear sky
690,Soyo,AO,-6.1349,12.3689,76.32,87,89,3.96,overcast clouds
691,Boende,CD,-0.2167,20.8667,67.84,97,22,2.39,few clouds
692,Vung Tau,VN,10.346,107.0843,77.58,76,31,1.95,scattered clouds
693,Abu Samrah,SY,35.3029,37.1841,54.14,78,80,3.2,broken clouds
694,Kaunas,LT,54.9,23.9,14.18,85,6,5.75,clear sky
695,Westport,US,41.1415,-73.3579,35.58,62,0,12.66,clear sky
696,Paramonga,PE,-10.6667,-77.8333,70.52,81,82,5.46,broken clouds
697,Anloga,GH,5.7947,0.8973,80.83,80,100,10.02,light rain
698,Isla Vista,US,34.4133,-119.861,56.79,79,0,6.91,clear sky
699,Bouar,CF,5.934,15.596,63.7,30,27,1.01,scattered clouds
700,Ayorou,NE,14.7308,0.9174,71.96,11,100,8.52,overcast clouds
